"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.6.78",0.49677,0.90874,0.9991,0.98053,0.98477,0.97538,0.9803,0.97731
"Bin.3.38",0.49512,0.46479,0.46911,0.46818,0.46375,0.45962,0.45934,0.45849
"Bin.9.74",0.49357,0.4732,0.89449,0.8745,0.94012,0.93098,0.95867,0.96477
"Bin.1.26",0.49337,0.49938,0.62727,0.65592,0.65477,0.65349,0.65696,0.65491
"Bin.4.18",0.48268,0.48207,0.45508,0.44294,0.44667,0.45099,0.44892,0.44829
"Bin.3.62",0.47674,0.53145,0.52556,0.5159,0.51828,0.52936,0.52772,0.52844
"Bin.3.18",0.47639,0.44481,0.43187,0.4217,0.4339,0.4553,0.4519,0.46241
"Bin.3.94",0.46952,0.43358,0.449,0.45656,0.45771,0.48623,0.5114,0.5141
"Bin.2.86",0.45455,0.47599,0.4528,0.48935,0.5119,0.5216,0.519,0.51739
"Bin.2.74",0.41446,0.38405,0.37533,0.3816,0.37794,0.38868,0.38668,0.38632
"Bin.9.62",0.41058,0.49553,0.71256,0.86801,0.91037,0.90503,0.89859,0.89833
"Bin.9.26",0.40918,0.55243,0.61412,0.65309,0.66575,0.65957,0.65708,0.66567
"Bin.3.10",0.40897,0.38911,0.36846,0.36215,0.36085,0.40674,0.41181,0.46365
"Bin.8.10",0.40518,0.37552,0.38043,0.37028,0.36671,0.36743,0.3647,0.36405
"Bin.8.46",0.40511,0.39706,0.39136,0.4113,0.42951,0.46186,0.48211,0.48065
"Bin.3.30",0.40042,0.39857,0.43301,0.47189,0.47266,0.46878,0.46613,0.48381
"Bin.8.90",0.38213,0.48354,0.4543,0.44838,0.44955,0.44693,0.47866,0.47838
"Bin.3.46",0.37962,0.35518,0.37745,0.37007,0.37091,0.40167,0.42097,0.42698
"Bin.2.34",0.36649,0.34828,0.33026,0.32696,0.32642,0.33291,0.34366,0.34267
"Bin.3.66",0.36424,0.4434,0.44498,0.44276,0.46129,0.49471,0.49115,0.4915
"Bin.7.42",0.33673,0.40605,0.46119,0.48562,0.48895,0.4855,0.48178,0.4803
"Bin.7.34",0.33556,0.42113,0.48771,0.50664,0.50881,0.50495,0.50107,0.50046
"Bin.6.70",0.32646,0.7557,0.95288,0.9475,0.94376,0.93731,0.9369,0.93501
"Bin.7.38",0.32542,0.40332,0.47138,0.494,0.49174,0.48757,0.48385,0.48234
"Bin.7.74",0.32423,0.30348,0.30536,0.29784,0.29644,0.30174,0.35025,0.35327
"Bin.2.14",0.31436,0.29609,0.30484,0.30069,0.29802,0.29965,0.30573,0.32841
"Bin.6.86",0.31392,0.39115,0.37966,0.3695,0.37327,0.37073,0.38287,0.3838
"Bin.9.10",0.3094,0.79452,0.87442,0.8591,0.85429,0.84665,0.8402,0.84034
"Bin.7.18",0.30013,0.28216,0.26429,0.26341,0.26148,0.25959,0.25837,0.27502
"Bin.9.58",0.29292,0.44264,0.6152,0.71319,0.88274,0.87697,0.93595,0.93349
"Bin.3.02",0.28616,0.31155,0.29819,0.29334,0.3127,0.31866,0.31704,0.32259
"Bin.2.18",0.28577,0.2785,0.3362,0.36891,0.37642,0.37494,0.38438,0.39426
"Bin.8.06",0.28394,0.31408,0.29819,0.31614,0.31372,0.3154,0.32629,0.33621
"Bin.6.74",0.28059,0.76974,0.93223,0.92159,0.92327,0.91407,0.91729,0.91445
"Bin.9.02",0.27928,0.74161,0.78894,0.76801,0.77631,0.77134,0.7686,0.76639
"Bin.3.82",0.26188,0.29554,0.28248,0.28132,0.28321,0.29543,0.34448,0.345
"Bin.9.54",0.24029,0.59814,0.57798,0.8457,0.87233,0.86382,0.85759,0.88328
"Bin.9.66",0.23892,0.37797,0.68787,0.73069,0.7928,0.8984,0.92384,0.92282
"Bin.1.30",0.23054,0.23323,0.26944,0.28037,0.27944,0.28993,0.31261,0.31173
"Bin.0.74",0.22739,0.76757,0.86744,0.86417,0.86853,0.86074,0.86316,0.86047
"Bin.2.78",0.21251,0.25836,0.24319,0.2647,0.28962,0.31363,0.31276,0.31179
"Bin.7.50",0.20901,0.20216,0.30136,0.29394,0.30173,0.40129,0.43718,0.43726
"Bin.3.78",0.20799,0.2175,0.23077,0.24407,0.24183,0.24078,0.28579,0.28548
"Bin.2.90",0.19432,0.21837,0.20816,0.20619,0.22596,0.22374,0.22626,0.22996
"Bin.7.70",0.19329,0.26003,0.3622,0.35288,0.34955,0.34674,0.37395,0.37285
"Bin.0.38",0.18215,1.0497,0.98333,0.96215,0.95877,1.1297,1.1216,1.1316
"Bin.2.38",0.13024,0.12338,0.19335,0.20359,0.20681,0.20538,0.22401,0.22633
"Bin.3.42",0.12552,0.1282,0.29131,0.2869,0.28468,0.29302,0.3095,0.32453
"Bin.3.26",0.12514,0.12925,0.14173,0.21605,0.2754,0.33922,0.33705,0.35274
"Bin.8.02",0.12202,0.26617,0.30949,0.42983,0.43032,0.42624,0.4328,0.43271
"Bin.9.46",0.11656,0.71778,0.68143,0.66583,0.666,0.67406,0.6696,0.67311
"Bin.6.98",0.11442,0.17631,0.20579,0.20802,0.22325,0.25723,0.31743,0.32183
"Bin.9.38",0.10639,0.82904,0.80913,0.79896,0.79126,0.78998,0.78911,0.79616
"Bin.8.86",0.1058,0.17964,0.28092,0.27924,0.2777,0.27805,0.27753,0.27876
"Bin.9.94",0.10357,0.1178,0.12663,0.85399,0.8732,0.98879,1.099,1.0959
"Bin.7.94",0.067597,0.14017,0.29001,0.33953,0.33631,0.35152,0.36328,0.3968
"Bin.7.26",0.066198,0.24748,0.41447,0.40983,0.40591,0.42778,0.43638,0.44061
"Bin.9.06",0.04164,0.56446,0.77938,0.77477,0.78278,0.77515,0.76922,0.77712
"Bin.4.02",0.038283,0.10283,0.20403,0.30766,0.31066,0.30786,0.31741,0.33028
"Bin.2.82",0.036203,0.16808,0.15835,0.21186,0.27289,0.32756,0.32768,0.32955
"Bin.8.18",0.030086,0.20239,0.2655,0.32669,0.32481,0.33695,0.34101,0.34094
"Bin.2.42",0.027087,0.096912,0.11102,0.10933,0.15611,0.17393,0.1743,0.20534
"Bin.2.94",0.02394,0.036155,0.16429,0.17423,0.18991,0.21551,0.21831,0.22532
"Bin.1.10",0.017703,0.20736,0.34333,0.34835,0.34559,0.3427,0.34715,0.34618
"Bin.7.98",0.008629,0.1633,0.25394,0.25726,0.26145,0.25886,0.27946,0.27908
"Bin.6.90",0.0049501,0.16533,0.19253,0.18863,0.21065,0.24078,0.2908,0.29035
"Bin.7.10",0.0040047,0.015946,0.05954,0.10668,0.10709,0.1075,0.10991,0.12467
"Bin.1.22",0.0033154,0.078199,0.2272,0.25586,0.25558,0.25696,0.25866,0.26562
