"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.7.94",-0.0077808,-0.013167,0.020544,0.05947,-0.035234,0.11004,0.028223,-0.039556
"Bin.7.90",0.029905,0.018597,0.0096015,0.011385,0.046375,-0.0283,-0.082185,0.13709
"Bin.7.86",-0.11578,-0.029098,0.010057,0.032224,-0.035053,-0.079896,0.14676,0.0075725
"Bin.7.82",-0.12498,-0.037462,0.0097886,0.033877,-0.021988,-0.096388,0.15511,-0.0046836
"Bin.7.78",0.034848,-0.010769,0.041905,0.0077852,0.0042951,0.12948,-0.093556,-0.098391
"Bin.7.74",0.0179,-0.0064001,0.019166,-0.0013109,-0.0050048,0.13085,-0.074856,-0.047463
"Bin.7.70",-0.0052628,-0.0027957,0.051276,0.003494,0.009673,0.066211,-0.087025,0.064147
"Bin.7.66",-0.10883,-0.024487,0.011117,0.031645,-0.021862,-0.062061,0.11731,0.012625
"Bin.7.62",-0.089182,-0.046007,0.017704,0.044822,-0.029312,-0.097657,0.15681,-0.00066324
"Bin.7.58",-0.10109,-0.054462,0.019368,0.047894,-0.036745,-0.072895,0.14371,-0.0016508
"Bin.7.54",-0.11718,-0.043328,0.0061065,0.040929,-0.027064,-0.080481,0.15371,-0.00083243
"Bin.7.50",-0.0087366,-0.04396,0.043995,0.026173,0.036134,-0.039588,-0.083756,-0.026835
"Bin.7.46",0.038433,-0.0069589,0.046937,0.029323,0.019649,-0.022325,-0.030695,0.022015
"Bin.7.42",-0.0023363,0.011477,0.021551,0.034684,0.034401,0.02231,-0.0017997,0.03734
"Bin.7.38",-0.0039236,0.0099694,0.026169,0.043778,0.017661,0.017558,-0.0037291,0.032132
"Bin.7.34",-0.004826,0.012258,0.028172,0.033101,0.033135,0.014171,-0.012752,0.051589
"Bin.7.30",-0.056582,-0.023912,0.022153,0.0031064,0.0058809,0.010109,-0.029921,-0.030746
"Bin.7.26",-0.019319,-0.0040643,0.057184,0.020955,0.044677,-0.020322,-0.020525,-0.037933
"Bin.7.22",-0.050841,-0.0077024,0.035334,0.0015783,0.043793,-0.0072605,-0.032615,-0.030692
"Bin.7.18",-0.015869,-0.0099205,0.0096677,-0.021999,0.0036385,-0.0010359,-0.039589,-0.007895
"Bin.7.14",-0.012991,-0.032392,-0.00080324,-0.0058867,-0.028735,0.022583,-0.026386,-0.12988
"Bin.7.10",0.0018355,-0.01093,-0.0033879,0.023087,0.0038721,0.022857,0.016439,0.13252
"Bin.7.06",0.031615,0.016404,0.026839,0.046227,0.016659,-0.0077753,0.014396,0.0061564
"Bin.7.02",0.043677,-0.0064036,0.04754,0.038433,0.020123,0.031353,-0.0093656,-0.0063645
"Bin.6.98",0.0060368,-0.043167,0.034228,0.0044658,-0.0062558,0.033209,-0.076197,-0.058785
"Bin.6.94",0.033102,-0.21675,0.077025,0.071085,-0.056029,0.050938,-0.097134,0.0098242
"Bin.6.90",0.016889,-0.04642,0.026753,0.017916,-0.015268,0.026805,-0.10288,-0.013323
"Bin.6.86",0.0040956,-0.062263,0.019261,0.020158,-0.029126,0.041034,-0.081767,0.0062687
"Bin.6.82",0.0541,-0.0028143,0.038327,-0.0047124,0.016458,0.027977,-0.030004,-0.058829
"Bin.6.78",0.043389,-0.21757,0.084324,0.080392,-0.075344,0.067678,-0.082166,-0.0097624
"Bin.6.74",0.0527,-0.2161,0.092102,0.085047,-0.070743,0.071571,-0.081779,-0.0056119
"Bin.6.70",0.046269,-0.21683,0.096143,0.085272,-0.072671,0.096914,-0.087751,0.019988
"Bin.6.66",0.016001,-0.22206,0.11563,0.064116,-0.079313,0.080316,-0.087204,0.008845
"Bin.6.62",-0.03811,-0.19728,0.22573,-0.0097061,-0.12595,0.15316,-0.072851,0.016573
"Bin.6.58",-0.045508,-0.19393,0.23126,-0.010572,-0.1298,0.1886,-0.076104,0.025675
"Bin.6.54",-0.050107,-0.18297,0.26288,-0.019311,-0.13475,0.13717,-0.07431,0.076366
"Bin.6.50",-0.15033,0.038495,0.26527,-0.095648,-0.083639,-0.058379,0.0094979,0.038322
"Bin.6.46",-0.13259,0.047257,0.27614,-0.1058,-0.10986,-0.040186,0.03006,0.0026567
"Bin.6.42",-0.1005,-0.16256,0.30491,-0.017261,-0.15602,0.010466,-0.040612,0.057639
"Bin.6.38",-0.16048,0.040772,0.26473,-0.090837,-0.096879,-0.019102,0.0094844,0.046666
"Bin.6.34",-0.096881,-0.16141,0.3094,-0.010711,-0.15485,0.071987,-0.041122,0.0911
"Bin.6.30",-0.15703,0.035694,0.24822,-0.10756,-0.10453,0.011479,0.031375,0.0495
"Bin.4.38",-0.039543,0.023592,-0.028029,-0.035643,0.0032303,0.0046102,-0.011665,0.065083
"Bin.4.34",0.040137,0.047859,0.0035202,-0.042761,-0.027674,0.0060824,0.042965,0.0077759
"Bin.4.30",0.051261,0.037205,0.014361,-0.063481,-0.055172,0.030405,0.031553,-0.047206
"Bin.4.26",0.060928,0.021635,0.019678,-0.0315,-0.010737,0.025007,-0.0080344,-0.0073275
"Bin.4.22",0.039766,0.04219,0.018787,-0.0072698,0.015216,0.038813,-0.024661,-0.035678
"Bin.4.18",0.015714,0.025885,0.010056,-0.01873,0.017651,0.063249,-0.034265,0.03331
"Bin.4.14",0.034523,0.033862,0.0089351,-0.044478,-0.022117,0.077576,-0.039245,0.048067
"Bin.4.10",0.034818,0.052866,0.0040593,-0.07322,-0.064416,0.040589,-0.017359,-0.03797
"Bin.4.06",-0.046293,0.017592,0.00035737,-0.028905,-0.030825,0.11307,0.0020787,-0.019606
"Bin.4.02",-0.0069566,0.042963,0.0031079,-0.056885,-0.034753,0.052133,0.0011304,-0.083607
"Bin.4.04",-0.042029,0.022493,0.0010617,-0.034181,-0.030666,0.1079,0.00045062,-0.028841
"Bin.3.98",-0.088378,0.0032618,-0.01118,-8.4605e-05,-0.036977,-0.05497,0.11367,-0.027938
"Bin.3.94",-0.032,0.024636,-0.01646,-0.02269,0.014125,0.00072274,-0.061277,-0.00014856
"Bin.3.90",0.024477,0.040146,-0.0068973,-0.0094459,0.026204,0.00051336,-0.059913,-0.010804
"Bin.3.86",0.020265,0.041876,-0.007643,-0.0089725,0.0071022,0.03965,-0.093624,-0.0087886
"Bin.3.82",0.0015036,0.039149,-0.0013383,-0.0055187,0.00068629,0.04846,-0.085296,-0.024387
"Bin.3.78",0.0044793,0.033984,-0.005855,-0.027454,0.0034569,0.069691,-0.09884,-0.0029559
"Bin.3.74",0.040958,0.030974,-0.0024933,-0.011384,0.023436,0.058946,-0.10236,0.066276
"Bin.3.70",0.028281,0.040363,0.011986,0.0091988,0.025194,0.049184,-0.059222,0.053972
"Bin.3.66",-0.0031722,0.030755,0.016774,-0.0078671,0.018713,0.086767,-0.013375,0.031625
"Bin.3.62",0.0038927,0.031156,0.022687,-0.0012251,0.0071914,0.038548,0.0024561,0.012501
"Bin.3.58",-0.033307,0.021519,-0.024654,-0.035523,-0.03629,-0.018204,-0.091393,0.013118
"Bin.3.54",0.029042,0.030781,-0.0025761,0.0048643,0.014317,0.0045576,-0.07539,0.081726
"Bin.3.50",0.033984,0.036616,-0.022142,0.012048,0.01295,-0.02746,-0.09274,0.058603
"Bin.3.46",0.021044,0.035645,-0.028436,0.00057875,0.01743,-0.01041,-0.11882,0.091353
"Bin.3.42",0.014367,0.02711,-0.046182,-0.018029,0.031958,0.015562,-0.11368,0.15149
"Bin.3.38",0.026548,0.040038,-0.017855,-0.034102,0.010531,0.018099,-0.043446,0.046428
"Bin.3.34",-0.032672,0.022791,-0.018614,-0.054973,-0.030202,0.025022,0.0026006,0.045159
"Bin.3.30",-0.013392,0.0033316,-0.0086613,-0.047374,-0.044082,-0.001888,-0.054208,0.074802
"Bin.3.26",-0.014651,0.00033032,-0.013015,0.0072507,0.030763,0.091991,-0.046809,0.11828
"Bin.3.22",0.016377,0.036139,-0.033993,0.0053385,0.055839,0.068598,-0.041181,0.21359
"Bin.3.18",-0.040382,0.028236,-0.02877,-0.019101,0.016923,0.081544,-0.061557,0.13141
"Bin.3.14",-0.053987,0.012472,-0.034747,-0.034954,-0.025996,0.068874,-0.061937,0.062165
"Bin.3.10",0.019484,0.024922,-0.0024089,-0.025652,-0.035338,0.054534,-0.067655,0.16843
"Bin.3.06",-0.047585,0.0089918,-0.0014095,-0.029531,-0.041602,0.11126,0.0034942,-0.037981
"Bin.3.02",-0.036766,0.021772,0.0051917,-0.016076,0.037449,0.050119,0.021084,0.053422
"Bin.3.04",-0.050215,0.010937,0.00023189,-0.029906,-0.026908,0.10879,0.0032915,-0.023063
"Bin.2.98",0.031544,0.035063,-0.028231,0.015582,0.024937,0.019855,0.028559,-0.016552
"Bin.2.94",-0.0045565,0.027793,-0.044071,0.0012214,0.010355,0.029755,-0.0059366,0.02383
"Bin.2.90",-0.026204,0.028317,-0.014263,-0.012628,0.048277,0.024909,-0.048603,0.092056
"Bin.2.86",0.0096496,0.030238,-0.019732,0.023705,0.048842,0.082309,-0.024148,0.10904
"Bin.2.82",-0.013924,0.0279,-0.020952,0.00055071,0.036077,0.07105,0.00065256,0.045982
"Bin.2.78",-0.0017995,0.027532,-0.015015,0.0052927,0.026488,0.047342,0.018081,0.00392
"Bin.2.74",-0.025956,0.0088545,-0.0030867,-0.032985,-0.032032,0.067572,-0.002379,-0.062362
"Bin.2.70",-0.10473,-0.015696,-0.056045,-0.068897,-0.011697,-0.019028,-0.09282,0.079725
"Bin.2.66",-0.098784,-0.0075885,-0.07577,-0.0445,-0.019469,0.0074244,-0.0365,0.073478
"Bin.2.62",-0.049611,0.013775,-0.05096,-0.034784,-0.016088,0.0023287,-0.04858,0.048584
"Bin.2.58",-0.075709,-0.015347,-0.05412,-0.053272,-0.041127,-0.031085,-0.075259,-0.063209
"Bin.2.54",-0.10622,-0.01303,-0.063564,-0.063318,-0.022342,-0.018028,-0.079604,0.086136
"Bin.2.50",-0.031859,0.0093549,-0.037113,-0.034098,-0.018312,0.018951,-0.075749,0.12046
"Bin.2.46",-0.032877,0.01751,-0.044629,-0.031456,-0.0098868,0.023362,-0.089101,0.089534
"Bin.2.42",-0.0074549,0.026173,-0.015721,-0.023273,0.034571,0.052885,-0.071862,0.15349
"Bin.2.38",0.0064344,0.026825,-0.018255,-0.035521,0.028071,0.040902,-0.072429,0.08819
"Bin.2.34",-0.034195,0.0079928,0.020481,-0.028889,0.043906,0.0097243,-0.049876,0.022698
"Bin.2.30",0.048464,0.033309,-0.0015334,-0.0075286,0.029575,-0.0065885,-0.052847,0.061366
"Bin.2.26",0.027469,0.035025,0.010596,0.015546,0.040959,0.0389,-0.024487,0.070954
"Bin.2.22",0.035186,0.037734,-0.0058354,-0.026975,0.030818,0.019928,-0.036061,0.061924
