"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.7.94",-0.012171,0.057169,-0.0041944,0.12424,-0.050545,-0.090235,-0.06426,0.022721
"Bin.7.90",0.048118,0.011367,0.045584,0.0066111,0.0060544,-0.14978,0.066763,0.0068053
"Bin.7.86",-0.13846,0.03908,0.023655,0.042901,0.066377,-0.014206,-0.077334,0.017502
"Bin.7.82",-0.14022,0.044557,0.016282,0.027612,0.067121,-0.013852,-0.084329,0.024557
"Bin.7.78",0.062833,0.047462,-0.056644,0.0034159,-0.020358,-0.068148,0.20306,0.01028
"Bin.7.74",0.035415,-0.0014345,-0.03859,0.095087,0.033877,-0.1061,0.084014,-0.042287
"Bin.7.70",0.0050842,0.052163,0.006373,0.10881,-0.039401,-0.18458,0.23212,-0.14281
"Bin.7.66",-0.13937,0.044084,0.031201,0.02822,0.072332,-0.021425,-0.036119,0.012951
"Bin.7.62",-0.12277,0.074357,-0.0061292,0.048976,0.058142,-0.011455,-0.097641,0.028972
"Bin.7.58",-0.13126,0.074079,-0.014959,0.040797,0.07614,-0.019097,-0.07975,0.027438
"Bin.7.54",-0.13974,0.051218,0.0070231,0.03508,0.060468,-0.011024,-0.081353,0.024582
"Bin.7.50",-0.031926,0.12944,-0.069357,-0.031671,-0.011935,-0.088364,0.11015,-0.063369
"Bin.7.46",0.050106,0.15204,0.0048009,-0.10488,0.086124,0.0075533,0.11694,-0.083077
"Bin.7.42",0.0011634,0.10401,0.070871,-0.204,0.094207,0.017358,0.089127,-0.04377
"Bin.7.38",-0.0042095,0.1232,0.074163,-0.16625,0.074808,0.013907,0.081987,-0.060125
"Bin.7.34",0.0011663,0.099024,0.077697,-0.17383,0.14267,-0.018573,0.076817,-0.031204
"Bin.7.30",-0.10127,0.065018,-0.010106,-0.080926,0.069232,-0.10894,0.045233,-0.050509
"Bin.7.26",-0.029694,0.14597,0.044885,-0.11436,0.021779,-0.067963,0.10623,-0.1025
"Bin.7.22",-0.076146,0.10509,0.044426,-0.15099,0.0096023,-0.05808,0.15019,-0.12852
"Bin.7.18",-0.032467,0.033933,-0.024823,-0.10074,0.037656,0.1391,0.073214,-0.22324
"Bin.7.14",-0.028156,0.02048,-0.082117,-0.041341,-0.066639,0.10638,0.042798,-0.043058
"Bin.7.10",-0.0053587,-0.0048209,-0.003622,0.18325,-0.031822,-0.14491,-0.080874,0.058074
"Bin.7.06",0.045584,0.11978,0.060157,-0.080459,-0.011116,0.0053042,0.11011,0.059379
"Bin.7.02",0.062558,0.1246,0.016646,0.055423,-0.0016395,-0.22192,0.082232,0.064267
"Bin.6.98",-0.0094278,0.079665,-0.07526,-0.1043,0.11524,-0.12411,0.033451,0.061528
"Bin.6.94",-0.025061,0.12127,-0.15766,-0.017077,0.079647,-0.10705,0.014953,0.056837
"Bin.6.90",0.0061814,0.056452,-0.1116,0.0031798,0.094315,-0.15761,0.079754,0.036777
"Bin.6.86",-0.026192,0.076149,-0.12602,0.017042,0.047981,-0.04742,0.06084,-0.062457
"Bin.6.82",0.083374,0.057301,-0.036671,0.046978,-0.039465,-0.028177,0.1346,-0.049144
"Bin.6.78",-0.02067,0.12826,-0.15816,0.012416,0.046152,-0.08973,0.040224,0.02923
"Bin.6.74",-0.015497,0.13422,-0.15603,0.015572,0.045069,-0.089333,0.046124,0.029776
"Bin.6.70",-0.017405,0.1273,-0.15581,0.041376,0.048398,-0.10548,0.055245,0.032998
"Bin.6.66",-0.032284,0.1251,-0.1559,0.046604,0.05213,-0.11587,0.055951,0.012385
"Bin.6.62",-0.042822,0.10749,-0.12186,0.11372,0.073222,-0.1528,0.085343,-0.078953
"Bin.6.58",-0.044107,0.10525,-0.1155,0.11216,0.082415,-0.16119,0.086151,-0.077373
"Bin.6.54",-0.04231,0.10767,-0.10456,0.10581,0.10444,-0.18128,0.083589,-0.08525
"Bin.6.50",-0.048262,0.022204,0.050003,0.1192,0.049024,-0.16259,0.094005,-0.167
"Bin.6.46",-0.038318,0.026601,0.051942,0.11133,0.044152,-0.16031,0.085525,-0.17928
"Bin.6.42",-0.055094,0.10398,-0.076553,0.097472,0.086407,-0.19989,0.081734,-0.10169
"Bin.6.38",-0.050595,0.018161,0.052532,0.12021,0.048512,-0.17022,0.097467,-0.16711
"Bin.6.34",-0.052496,0.10566,-0.073106,0.099332,0.098188,-0.20118,0.098505,-0.098687
"Bin.6.30",-0.053255,0.012717,0.048742,0.1163,0.056497,-0.16564,0.0996,-0.17521
"Bin.4.38",-0.032371,-0.10348,0.052544,-0.047886,0.0069251,-0.069446,0.14347,0.034305
"Bin.4.34",0.063282,-0.04156,0.069795,-0.074297,0.068797,0.024449,0.11505,-0.0039862
"Bin.4.30",0.078126,-0.016131,0.038862,-0.092559,-0.0021632,0.010284,0.047069,-0.11469
"Bin.4.26",0.1049,0.0092638,0.024569,-0.098461,0.051032,-0.064161,0.073839,-0.041145
"Bin.4.22",0.084422,-0.0048257,0.093726,-0.065697,0.03332,-0.069402,0.17773,-0.019722
"Bin.4.18",0.051811,-0.010843,0.073571,-0.1945,0.15829,-0.020629,0.12737,-0.089306
"Bin.4.14",0.085018,-0.075117,0.043906,-0.095127,0.13446,-0.069463,0.064459,-0.10167
"Bin.4.10",0.070236,-0.07895,0.052249,-0.070006,-0.013815,-0.010858,0.0082086,-0.15564
"Bin.4.06",-0.0505,-0.088187,0.049562,0.095899,-0.1107,-0.065578,0.23604,-0.16815
"Bin.4.02",0.023502,-0.096043,0.072219,-0.012425,-0.11917,-0.025163,0.058683,-0.1845
"Bin.4.04",-0.042238,-0.097227,0.057336,0.088189,-0.11931,-0.068326,0.22299,-0.18274
"Bin.3.98",-0.12467,-0.024186,0.058164,0.021523,0.025431,0.0087175,-0.071957,-0.0092156
"Bin.3.94",-0.032589,-0.073173,0.079376,-0.16558,0.014544,-0.14578,-0.0067428,0.033395
"Bin.3.90",0.072797,-0.067663,0.082641,-0.18131,0.13593,-0.0806,-0.0068243,0.059672
"Bin.3.86",0.074435,-0.1035,0.082456,-0.12464,0.12676,-0.10615,0.019679,0.022064
"Bin.3.82",0.040217,-0.091169,0.088598,-0.098747,0.12178,-0.15329,0.066359,0.020099
"Bin.3.78",0.047943,-0.11009,0.059699,-0.15158,0.11778,-0.07347,0.071864,-0.10858
"Bin.3.74",0.091709,-0.076938,0.03848,-0.097142,0.20358,-0.084132,-0.075004,-0.048904
"Bin.3.70",0.078398,-0.032868,0.096949,-0.10792,0.20452,-0.12938,-0.0011909,-0.0042956
"Bin.3.66",0.027477,-0.011768,0.11678,-0.075985,0.11653,-0.091308,0.19162,-0.14071
"Bin.3.62",0.030572,0.016017,0.11011,-0.098091,0.1476,-0.10413,0.0972,-0.040888
"Bin.3.58",-0.037098,-0.14232,0.039157,-0.049093,0.061932,-0.085454,0.060416,-0.018984
"Bin.3.54",0.063679,-0.055091,0.06407,-0.10969,0.24215,-0.128,-0.059905,0.05552
"Bin.3.50",0.066622,-0.063229,0.060817,-0.17153,0.19645,-0.096029,-0.17583,0.0903
"Bin.3.46",0.051674,-0.085726,0.053398,-0.18196,0.21064,-0.077057,-0.14829,0.043682
"Bin.3.42",0.038057,-0.10348,0.027387,-0.16894,0.18723,-0.035808,-0.11921,0.011366
"Bin.3.38",0.069255,-0.09982,0.064348,-0.14935,0.1561,-0.080576,-0.07443,-0.0031565
"Bin.3.34",-0.039347,-0.13754,0.049148,-0.0010544,0.10393,-0.033254,-0.11793,-0.17778
"Bin.3.30",-0.017757,-0.12032,-0.020806,0.075662,0.15624,0.017178,-0.084302,-0.19006
"Bin.3.26",-0.010484,-0.045645,0.015795,-0.012157,0.19264,-0.027954,0.01899,-0.019347
"Bin.3.22",0.042852,-0.085521,0.066421,-0.01043,0.16931,0.0057033,0.061823,0.019347
"Bin.3.18",-0.030379,-0.15499,0.07086,0.024409,0.11326,-0.062749,0.15236,-0.059721
"Bin.3.14",-0.072425,-0.173,0.024544,0.06363,-0.0079424,-0.037742,0.095218,-0.11482
"Bin.3.10",0.042413,-0.097205,0.02227,0.11724,0.1295,0.0015877,0.019346,-0.1483
"Bin.3.06",-0.055631,-0.076688,0.020372,0.13228,-0.17047,-0.034406,0.21559,-0.16595
"Bin.3.02",-0.023805,-0.024042,0.059573,-0.028758,-0.057446,-0.071304,0.1834,-0.037304
"Bin.3.04",-0.059116,-0.076814,0.031644,0.1168,-0.16976,-0.054755,0.24138,-0.16407
"Bin.2.98",0.065424,-0.071559,0.045031,0.1626,-0.156,0.023438,-0.069127,0.06847
"Bin.2.94",0.011835,-0.13483,0.051433,0.12946,-0.050117,0.03214,0.092448,0.082327
"Bin.2.90",-0.010042,-0.082701,0.07519,0.0019939,-0.059924,-0.085048,0.20237,-0.028318
"Bin.2.86",0.042914,-0.071437,0.074971,0.060115,0.049015,-0.05593,0.13959,0.086924
"Bin.2.82",0.0058079,-0.11648,0.092217,0.12677,0.059579,-0.054974,0.092244,0.049805
"Bin.2.78",0.025199,-0.095337,0.070814,0.16184,-0.019931,-0.0034642,-0.0015507,0.014356
"Bin.2.74",-0.030555,-0.082197,0.011302,0.075549,-0.036305,0.020929,0.069003,-0.15519
"Bin.2.70",-0.11629,-0.12892,-0.019817,-0.055646,0.024891,-0.024684,0.1416,-0.036234
"Bin.2.66",-0.10458,-0.13624,3.8702e-05,0.027445,-0.028424,-0.042673,0.075666,0.083949
"Bin.2.62",-0.067133,-0.16961,0.013628,0.0038434,0.0012951,0.058272,0.081579,0.0028718
"Bin.2.58",-0.097145,-0.10673,-0.040619,-0.056965,-0.060576,0.07927,0.10662,-0.034516
"Bin.2.54",-0.11745,-0.14088,-0.01039,-0.00056124,0.01073,-0.043449,0.090986,-0.0058371
"Bin.2.50",-0.037008,-0.19599,0.005208,0.086622,0.065488,-0.073537,0.042255,-0.042227
"Bin.2.46",-0.031523,-0.19639,0.019133,-0.011792,0.11085,-0.034655,0.040365,0.040456
"Bin.2.42",0.024398,-0.14412,0.056468,-0.044452,0.20648,-0.12768,0.094928,0.021167
"Bin.2.38",0.054031,-0.16905,0.039853,-0.071647,0.14769,-0.096621,0.055468,-0.04696
"Bin.2.34",-0.04519,0.021344,0.057618,-0.15571,0.053183,-0.082068,0.14796,-0.14026
"Bin.2.30",0.1037,-0.047249,0.052528,-0.099741,0.16766,0.019232,-0.079339,-0.038343
"Bin.2.26",0.073739,0.021748,0.10554,-0.1292,0.098161,-0.026891,0.093383,-0.06288
"Bin.2.22",0.09448,-0.10668,0.061555,-0.052908,0.15477,-0.073313,-0.0056405,-0.001132
"Bin.2.18",-0.013314,-0.091006,0.00074985,0.083101,0.0016791,0.074551,-0.089318,-0.0060647
"Bin.2.14",0.064345,-0.1371,0.046912,-0.067011,0.14512,-0.064183,0.024514,-0.0097905
"Bin.2.10",0.12734,-0.059848,0.056004,-0.002915,-0.040455,-0.034541,0.094511,-0.05525
"Bin.2.06",0.089737,-0.1108,0.023659,0.14781,-0.074637,-0.0086219,0.11582,-0.027151
