"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.4.02",0.060057,0.37083,0.37143,0.44298,0.49895,0.49875,0.4974,0.49993
"Bin.9.38",0.057139,0.12676,0.51749,0.511,0.51321,0.51124,0.51905,0.51823
"Bin.9.46",0.051581,0.23419,0.38826,0.38987,0.38789,0.38668,0.42256,0.42241
"Bin.2.42",0.041806,0.41002,0.4682,0.48008,0.53783,0.544,0.55001,0.54923
"Bin.9.94",0.036914,0.037486,0.092903,0.18458,0.18409,0.187,0.19199,0.19193
"Bin.2.94",0.035094,0.27449,0.41652,0.50741,0.504,0.50945,0.51166,0.5117
"Bin.1.10",0.03215,0.75165,0.73823,0.7417,0.73741,0.7389,0.73707,0.73774
"Bin.8.18",0.031752,0.41814,0.44197,0.44184,0.44811,0.45945,0.45871,0.46801
"Bin.9.06",0.021876,0.18707,0.39136,0.43072,0.42819,0.4289,0.43394,0.4357
"Bin.7.98",0.012034,0.20522,0.21691,0.35417,0.35218,0.35866,0.38768,0.39965
"Bin.6.90",0.0071004,0.10831,0.33731,0.33432,0.33309,0.35879,0.36811,0.36752
"Bin.1.22",0.0046603,0.64226,0.62884,0.63326,0.68023,0.67745,0.67644,0.67721
"Bin.7.10",0.0043352,0.10791,0.15254,0.26749,0.34113,0.38093,0.38013,0.38734
